Reference_Number,Shloka,Translation
sb.11.29.38,प्रत्यर्पितो मे भवतानुकम्पिना भृत्याय विज्ञानमय: प्रदीप: । हित्वा कृतज्ञस्तव पादमूलं कोऽन्यं समीयाच्छरणं त्वदीयम् ॥,"In return for my insignificant surrender, You have mercifully bestowed upon me, Your servant, the torchlight of transcendental knowledge. Therefore, what devotee of Yours who has any gratitude could ever give up Your lotus feet and take shelter of another master?"
sb.7.6.1,"श्रीप्रह्राद उवाच
कौमार आचरेत्प्राज्ञो धर्मान्भागवतानिह । दुर्लभं मानुषं जन्म तदप्यध्रुवमर्थदम् ॥ १ ॥","Prahlāda Mahārāja said: One who is sufficiently intelligent should use the human form of body from the very beginning of life — in other words, from the tender age of childhood — to practice the activities of devotional service, giving up all other engagements. The human body is most rarely achieved, and although temporary like other bodies, it is meaningful because in human life one can perform devotional service. Even a slight amount of sincere devotional service can give one complete perfection."
sb.7.6.2,यथा हि पुरुषस्येह विष्णो: पादोपसर्पणम् । यदेष सर्वभूतानां प्रिय आत्मेश्वर: सुहृत् ॥,"The human form of life affords one a chance to return home, back to Godhead. Therefore every living entity, especially in the human form of life, must engage in devotional service to the lotus feet of Lord Viṣṇu. This devotional service is natural because Lord Viṣṇu, the Supreme Personality of Godhead, is the most beloved, the master of the soul, and the well-wisher of all other living beings."
sb.7.6.3,सुखमैन्द्रियकं दैत्या देहयोगेन देहिनाम् । सर्वत्र लभ्यते दैवाद्यथा दु:खमयत्नत: ॥,"Prahlāda Mahārāja continued: My dear friends born of demoniac families, the happiness perceived with reference to the sense objects by contact with the body can be obtained in any form of life, according to one’s past fruitive activities. Such happiness is automatically obtained without endeavor, just as we obtain distress."
sb.7.6.4,तत्प्रयासो न कर्तव्यो यत आयुर्व्यय: परम् । न तथा विन्दते क्षेमं मुकुन्दचरणाम्बुजम् ॥,"Endeavors merely for sense gratification or material happiness through economic development are not to be performed, for they result only in a loss of time and energy, with no actual profit. If one’s endeavors are directed toward Kṛṣṇa consciousness, one can surely attain the spiritual platform of self-realization. There is no such benefit from engaging oneself in economic development."
sb.7.6.5,ततो यतेत कुशल: क्षेमाय भवमाश्रित: । शरीरं पौरुषं यावन्न विपद्येत पुष्कलम् ॥,"Therefore, while in material existence [bhavam āśritaḥ], a person fully competent to distinguish wrong from right must endeavor to achieve the highest goal of life as long as the body is stout and strong and is not embarrassed by dwindling."
sb.7.6.8,दुरापूरेण कामेन मोहेन च बलीयसा । शेषं गृहेषु सक्तस्य प्रमत्तस्यापयाति हि,"One whose mind and senses are uncontrolled becomes increasingly attached to family life because of insatiable lusty desires and very strong illusion. In such a madman’s life, the remaining years are also wasted because even during those years he cannot engage himself in devotional service."
sb.7.6.10,को न्वर्थतृष्णां विसृजेत्प्राणेभ्योऽपि य ईप्सित: । यं क्रीणात्यसुभि: प्रेष्ठैस्तस्कर: सेवको वणिक् ॥,"Money is so dear that one conceives of money as being sweeter than honey. Therefore, who can give up the desire to accumulate money, especially in household life? Thieves, professional servants [soldiers] and merchants try to acquire money even by risking their very dear lives."
sb.11.23.61,य एतां भिक्षुणा गीतां ब्रह्मनिष्ठां समाहित: । धारयञ्छ्रावयञ्छृण्वन्द्वन्द्वैर्नैवाभिभूयते ॥,"Anyone who listens to or recites to others this song of the sannyāsī, which presents scientific knowledge of the Absolute, and who thus meditates upon it with full attention, will never again be overwhelmed by the dualities of material happiness and distress."
sb.11.8.31,"सन्तं समीपे रमणं रतिप्रदं वित्तप्रदं नित्यमिमं विहाय ।
अकामदं दु:खभयाधिशोकमोहप्रदं तुच्छमहं भजेऽज्ञा ॥","I am such a fool that I have given up the service of that person who, being eternally situated within my heart, is actually most dear to me. That most dear one is the Lord of the universe, who is the bestower of real love and happiness and the source of all prosperity. Although He is in my own heart, I have completely neglected Him. Instead I have ignorantly served insignificant men who can never satisfy my real desires and who have simply brought me unhappiness, fear, anxiety, lamentation and illusion."
sb.11.8.35,सुहृत् प्रेष्ठतमो नाथ आत्मा चायं शरीरिणाम् । तं विक्रीयात्मनैवाहं रमेऽनेन यथा रमा ॥,"The Supreme Personality of Godhead is absolutely the most dear one for all living beings because He is everyone’s well-wisher and Lord. He is the Supreme Soul situated in everyone’s heart. Therefore I will now pay the price of complete surrender, and thus purchasing the Lord I will enjoy with Him just like Lakṣmīdevī."
bg.5.23,शक्न‍ोतीहैव य: सोढुं प्राक्शरीरविमोक्षणात् । कामक्रोधोद्भ‍वं वेगं स युक्त: स सुखी नर: ॥,"Before giving up this present body, if one is able to tolerate the urges of the material senses and check the force of desire and anger, he is well situated and is happy in this world."
radha.1.10,"राधा, रासेश्वरी, रम्या, कृष्ण मत्राधिदेवता, सर्वाद्या, सर्ववन्द्या, वृन्दावन विहारिणी, वृन्दा राधा, रमा, अशेष गोपी मण्डल पूजिता",first 10 names out of 28 names of radha rani
radha.11.20,"सत्या, सत्यपरा, सत्यभामा, श्री कृष्ण वल्लभा, वृष भानु सुता, गोपी, मूल प्रकृति, ईश्वरी, गान्धर्वा, राधिका",11 to 20 names out of 28 names of radha rani
radha.21.28,"रम्या, रुक्मिणी, परमेश्वरी, परात्परतरा, पूर्णा, पूर्णचन्द्रविमानना, भुक्ति-मुक्तिप्रदा, भवव्याधि-विनाशिनी",21 to 28 out of 28 names of radha rani
sb.1.114,आपन्न: संसृतिं घोरां यन्नाम विवशो गृणन् । तत: सद्यो विमुच्येत यद्ब‍िभेति स्वयं भयम् ॥,"Saunaka adi Rishis said to Sri suta goswami ji : Living beings who are entangled in the complicated meshes of birth and death can be freed immediately by even unconsciously chanting the holy name of Kṛṣṇa, which is feared by fear personified."
sb.1.2.8,धर्म: स्वनुष्ठित: पुंसां विष्वक्सेनकथासु य: । नोत्पादयेद्यदि रतिं श्रम एव हि केवलम् ॥,The occupational activities a man performs according to his own position are only so much useless labor if they do not provoke attraction for the message of the Personality of Godhead.
sb.1.2.13,अत: पुम्भिर्द्विजश्रेष्ठा वर्णाश्रमविभागश: । स्वनुष्ठितस्य धर्मस्य संसिद्धिर्हरितोषणम् ॥,"O best among the twice-born, it is therefore concluded that the highest perfection one can achieve by discharging the duties prescribed for one’s own occupation according to caste divisions and orders of life is to please the Personality of Godhead."
sb.1.2.14,तस्मादेकेन मनसा भगवान् सात्वतां पति: । श्रोतव्य: कीर्तितव्यश्च ध्येय: पूज्यश्च नित्यदा ॥,"Therefore, with one-pointed attention, one should constantly hear about, glorify, remember and worship the Personality of Godhead, who is the protector of the devotees."
sb.1.2.17,श‍ृण्वतां स्वकथा: कृष्ण: पुण्यश्रवणकीर्तन: । हृद्यन्त:स्थो ह्यभद्राणि विधुनोति सुहृत्सताम् ॥,"Śrī Kṛṣṇa, the Personality of Godhead, who is the Paramātmā [Supersoul] in everyone’s heart and the benefactor of the truthful devotee, cleanses desire for material enjoyment from the heart of the devotee who has developed the urge to hear His messages, which are in themselves virtuous when properly heard and chanted."
sb.1.2.18,नष्टप्रायेष्वभद्रेषु नित्यं भागवतसेवया । भगवत्युत्तमश्लोके भक्तिर्भवति नैष्ठिकी ॥,"By regular attendance in classes on the Bhāgavatam and by rendering of service to the pure devotee, all that is troublesome to the heart is almost completely destroyed, and loving service unto the Personality of Godhead, who is praised with transcendental songs, is established as an irrevocable fact."
sb.1.2.19,तदा रजस्तमोभावा: कामलोभादयश्च ये । चेत एतैरनाविद्धं स्थितं सत्त्वे प्रसीदति ॥,"As soon as irrevocable loving service is established in the heart, the effects of nature’s modes of passion and ignorance, such as lust, desire and hankering, disappear from the heart. Then the devotee is established in goodness, and he becomes completely happy."
sb.1.2.21,भिद्यते हृदयग्रन्थिश्छिद्यन्ते सर्वसंशया: । क्षीयन्ते चास्य कर्माणि द‍ृष्ट एवात्मनीश्वरे ॥,"Thus the knot in the heart is pierced, and all misgivings are cut to pieces. The chain of fruitive actions is terminated when one sees the self as master."
sb.1.3.28,स वेद धातु: पदवीं परस्य दुरन्तवीर्यस्य रथाङ्गपाणे: । योऽमायया सन्ततयानुवृत्त्या भजेत तत्पादसरोजगन्धम् ॥,"Only those who render unreserved, uninterrupted, favorable service unto the lotus feet of Lord Kṛṣṇa, who carries the wheel of the chariot in His hand, can know the creator of the universe in His full glory, power and transcendence."
sb.1.5.10,न यद्वचश्चित्रपदं हरेर्यशो जगत्पवित्रं प्रगृणीत कर्हिचित् । तद्वायसं तीर्थमुशन्ति मानसा न यत्र हंसा निरमन्त्युशिक्क्षया: ॥,"Those words which do not describe the glories of the Lord, who alone can sanctify the atmosphere of the whole universe, are considered by saintly persons to be like unto a place of pilgrimage for crows. Since the all-perfect persons are inhabitants of the transcendental abode, they do not derive any pleasure there."
sb.1.5.17,त्यक्त्वा स्वधर्मं चरणाम्बुजं हरेर्भजन्नपक्‍वोऽथ पतेत्ततो यदि । यत्र क्‍व वाभद्रमभूदमुष्य किं को वार्थ आप्तोऽभजतां स्वधर्मत: ॥,"One who has forsaken his material occupations to engage in the devotional service of the Lord may sometimes fall down while in an immature stage, yet there is no danger of his being unsuccessful. On the other hand, a nondevotee, though fully engaged in occupational duties, does not gain anything."
sb.1.5.18,तस्यैव हेतो: प्रयतेत कोविदो न लभ्यते यद्भ्रमतामुपर्यध: । तल्लभ्यते दु:खवदन्यत: सुखं कालेन सर्वत्र गभीररंहसा ॥,"Persons who are actually intelligent and philosophically inclined should endeavor only for that purposeful end which is not obtainable even by wandering from the topmost planet [Brahmaloka] down to the lowest planet [Pātāla]. As far as happiness derived from sense enjoyment is concerned, it can be obtained automatically in course of time, just as in course of time we obtain miseries even though we do not desire them."
sb.1.6.22,सकृद् यद्दर्शितं रूपमेतत्कामाय तेऽनघ । मत्काम: शनकै: साधु सर्वान्मुञ्चति हृच्छयान् ॥,"Sri krsna to narada ji (young boy) : O virtuous one, you have only once seen My person, and this is just to increase your desire for Me, because the more you hanker for Me, the more you will be freed from all material desires."
